company,company_type,primary_sector,title,title_length,sector_count,posting_period_days,duration_deviation,abs_duration_deviation,is_short_posting,is_long_posting,company_reposting_count,sector_reposting_count,estimated_salary,estimated_welfare_count,has_flexible_work,has_snack_bar,has_incentive,turnover_risk_score,turnover_risk_level,link
쿠팡로지스틱스서비스(유),대기업,배송기사,[최대4340+참석비10]쿠팡CLS지게차(입출고 오퍼레이터)전국채용,37,5,2.0,-10.0,10.0,1,0,2,1,5800,7,0,0,0,11.687326549491212,Low,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54229077
해비치호텔앤드리조트(주),대기업,응급구조사,[해비치호텔앤드리조트] 전사 현장 서비스직 신입/경력 채용,32,5,21.0,9.0,9.0,0,1,1,2,5800,7,0,0,0,9.74468085106383,Low,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54228176&adsCategoryItem=effect_bold&
의료법의료법인 한국의료재단 종합검진센터(여의도IFC),일반기업,검진센터,[한국의료재단] 예방의학사업부(영업팀) 채용,24,5,11.0,-1.0,1.0,1,0,1,1,3800,3,0,0,0,40.63829787234043,Medium,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54227720&adsCategoryItem=effect_bold&
SK텔레콤(주),대기업,ERP,정산 및 통계 지원 담당자,14,5,4.0,-8.0,8.0,1,0,8,7,5800,7,0,0,0,18.236817761332098,Low,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54226984
SK텔레콤(주),대기업,SE(시스템엔지니어),스마트홈 서비스 현장 지원 담당자,18,5,4.0,-8.0,8.0,1,0,8,7,5800,7,0,0,0,18.236817761332098,Low,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54226913
호남지방통계청,일반기업,사무직,2026년 청년인턴 채용 공고(통계-사회조사과),26,5,9.0,-3.0,3.0,1,0,3,67,3800,3,0,0,0,44.52358926919519,Medium,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54226792
호남지방통계청,일반기업,사무직,2026년 청년인턴 채용 공고(통계-경제조사과),26,4,9.0,-3.0,3.0,1,0,3,67,3800,3,0,0,0,44.52358926919519,Medium,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54226664
호남지방통계청,일반기업,빅데이터,2026년 청년인턴 채용 공고(통계-지역통계과),26,5,9.0,-3.0,3.0,1,0,3,1,3800,3,0,0,0,44.52358926919519,Medium,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54226614
(주)넷게임즈,대기업,게임디자인,[LoreVault][Woochi the Wayfarer] 캐릭터 컨셉 아티스트,44,4,10.0,-2.0,2.0,1,0,4,1,5800,7,0,0,0,9.18963922294172,Low,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54226548
네이버클라우드(주),대기업,클라우드,[NAVER Cloud] AX·Cloud 대외 프로젝트 거버넌스 (체험형 인턴),44,5,5.0,-7.0,7.0,1,0,6,3,5800,7,0,0,0,14.98982423681776,Low,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54226539
양산부산대학교병원,일반기업,사무직,2026년도 블라인드 공개채용 계약직(원무직) 모집 공고,31,5,13.0,1.0,1.0,0,1,7,67,3800,3,0,0,0,48.464384828862165,Medium,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54226501
(재)광주창조경제혁신센터,일반기업,예산관리,2026년 제8차 직원 공개채용 공고(2026년 초기창업패키지 운영),38,5,13.0,1.0,1.0,0,1,4,2,3800,3,0,0,0,44.5513413506013,Medium,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54226438
(재)광주창조경제혁신센터,일반기업,사무직,2026년 제8차 직원 공개채용 공고(로컬창업기업 성장 컨설팅),35,5,13.0,1.0,1.0,0,1,4,67,3800,3,0,0,0,44.5513413506013,Medium,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54226403
양산부산대학교병원,일반기업,간호조무사,2026년도 블라인드 공개채용 계약직(간호조무직) 모집 공고,33,4,13.0,1.0,1.0,0,1,7,5,3800,3,0,0,0,48.464384828862165,Medium,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54226396
(재)광주창조경제혁신센터,일반기업,사무직,2026년 제8차 직원 공개채용 공고(창업지원사업 운영 및 지원),36,4,13.0,1.0,1.0,0,1,4,67,3800,3,0,0,0,44.5513413506013,Medium,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54226350
메리츠증권(주),대기업,서무,리서치지원팀 채용 (신입 / 경력),19,5,10.0,-2.0,2.0,1,0,4,3,5800,7,0,0,0,9.18963922294172,Low,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54225947
양산부산대학교병원,일반기업,병원총무,2026년도 블라인드 공개채용 계약직(행정직) 모집 공고,31,5,13.0,1.0,1.0,0,1,7,1,3800,3,0,0,0,48.464384828862165,Medium,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54225878
(재)광주창조경제혁신센터,일반기업,자금관리,2026년 제8차 직원 공개채용 공고(창업도시 프로젝트 운영/지원),37,5,13.0,1.0,1.0,0,1,4,1,3800,3,0,0,0,44.5513413506013,Medium,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54225875
양산부산대학교병원,일반기업,정보보안,2026년도 블라인드 공개채용 계약직(전산직) 모집 공고,31,5,13.0,1.0,1.0,0,1,7,8,3800,3,0,0,0,48.464384828862165,Medium,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54225837
양산부산대학교병원,일반기업,수의사,2026년도 블라인드 공개채용 계약직(수의사) 모집 공고,31,5,13.0,1.0,1.0,0,1,7,1,3800,3,0,0,0,48.464384828862165,Medium,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54225785
